ENTIDAD_FEDERATIVA,longitud,latitud
AGUASCALIENTES,-102.13458037272727,21.908843
BAJA CALIFORNIA,-116.26924846666667,31.845192400000002
BAJA CALIFORNIA SUR,-110.87261263999999,25.0692125
CAMPECHE,-90.4303248,19.099745125000002
CHIAPAS,-92.4743227080645,16.300011133064515
CHIHUAHUA,-106.40860754328358,28.148280801492536
CIUDAD DE MÉXICO,-99.084281125,19.21502624375
COAHUILA DE ZARAGOZA,-101.25715274473684,26.922696336842108
COLIMA,-103.59247470999999,19.017373290000002
DURANGO,-104.46611053076923,24.73650064102564
GUANAJUATO,-100.7569293847826,20.563592958695654
GUERRERO,-99.21810058395062,17.41889924320988
HIDALGO,-98.63471928928571,20.235335867857142
JALISCO,-103.2762421784,20.298421039199997
MICHOACÁN DE OCAMPO,-101.53475414070796,19.392471309734514
MORELOS,-98.86154503055555,18.494038638888888
MÉXICO,-99.1994615608,19.1932509936
NAYARIT,-104.711854905,21.418745675
NUEVO LEÓN,-99.83428999803921,25.436164419607845
OAXACA,-96.65161017666667,16.897511904385965
PUEBLA,-97.69585549769585,18.93524043778802
QUERÉTARO,-99.71281598888889,20.570638433333333
QUINTANA ROO,-87.32451749090909,19.991264418181817
SAN LUIS POTOSÍ,-99.76913625862068,21.98631555172414
SINALOA,-107.20598701666667,24.535566194444446
SONORA,-110.06267315833333,29.401496715277776
TABASCO,-92.51873157647059,17.73247925882353
TAMAULIPAS,-98.61916560465116,24.00629533255814
TLAXCALA,-98.04720674166667,19.200997293333334
VERACRUZ DE IGNACIO DE LA LLAVE,-96.49730000896226,19.137852233490566
YUCATÁN,-88.96087811886792,20.628457932075474
ZACATECAS,-102.55747338448276,22.38871373448276
